store,item,amount
ALWAYS LOW PRICES.,OPEN,$24.00
ALWAYS LOW PRICES.,DISCOUNT GIVEN,$0.57
ALWAYS LOW PRICES.,ao CHANGE DUE,$5.89
ALWAYS LOW PRICES.,Total,$30.46
ALWAYS LOW PRICES.,Receipt_Total,$5.11
TRADER JOE’S,R-CUCUMBERS PERSIAN LB,$1.99
TRADER JOE’S,TOMATOES CRUSHED NO SALT,$1.59
TRADER JOE’S,TOMATOES WHOLE NO SALT W/BASIL,$1.59
TRADER JOE’S,ORGANIC OLD FASHIUNED OATMEAL,$2.69
TRADER JOE’S,PKG SHREDDED MOZZARELLA LITE T,$3.79
TRADER JOE’S,rGGS DOZ ORGANIC BROWN,$0.89
TRADER JOE’S,BEANS GARBANZO,$2.95
TRADER JOE’S,SPROUTED CA STYLE,$3.99
TRADER JOE’S,Item,$4.00
TRADER JOE’S,A-APPLE BAU JAZZ LB,$2.99
TRADER JOE’S,GeuChRY NON TAXABLE,$0.98
TRADER JOE’S,Item,$0.49
TRADER JOE’S,SRA an PEANUT BLG ER,$2.49
TRADER JOE’S,LREAMY Gat TEL,$1.63
TRADER JOE’S,WHL WHT PITA BREAD,$1.38
TRADER JOE’S,Item,$0.69
TRADER JOE’S,Item,$0.68
TRADER JOE’S,CASH,$1.32
TRADER JOE’S,Total,$36.13
TRADER JOE’S,Receipt_Total,$0.68
Give us feedback @ survey.walmart.com wy,ST 02527 OP 009045 TE,$45.00
Give us feedback @ survey.walmart.com wy,TAX,$3.46
Give us feedback @ survey.walmart.com wy,DEBIT TEND,$49.90
Give us feedback @ survey.walmart.com wy,Zag  ITEMS SOLD,$4.00
Give us feedback @ survey.walmart.com wy,Total,$102.36
Give us feedback @ survey.walmart.com wy,Receipt_Total,$49.90
Walmart ate,sia 05483 OPE douse tee,$9.00
Walmart ate,HRT CL BARS F,$4.98
Walmart ate,WAS YOU SAVED,$0.64
Walmart ate,TAX &,$4.68
Walmart ate,CASH TEND,$160.02
Walmart ate,CHANGE DUE,$6.00
Walmart ate,& ITEMS SOLD,$26.00
Walmart ate,Total,$211.32
Walmart ate,Receipt_Total,$144.02
Save money. Live better.,BLUEBELL DR,$8.00
Save money. Live better.,ST 02115 OP 009044 TE,$44.00
Save money. Live better.,TAX,$4.59
Save money. Live better.,ITEMS SOLD,$25.00
Save money. Live better.,Total,$81.59
Save money. Live better.,Receipt_Total,$94.21
Walmart >. rd,ITEMS SOLD,$5.00
Walmart >. rd,Item,$1.00
Walmart >. rd,Total,$6.00
TRADER JOE'S,HARVEST BREAD,$1.99
TRADER JOE'S,PASTA WHOLE WHEAT PENNE ORGANI,$1.49
TRADER JOE'S,BANANAS,$2.28
TRADER JOE'S,Item,$12.00
TRADER JOE'S,MILK HALF GAL ALMOND UNSWEETEN,$2.99
TRADER JOE'S,A-LEMON BAG LB,$1.49
TRADER JOE'S,ORGANIC LF VANILLA YOG-,$3.29
TRADER JOE'S,R-CARROTS CUT & PEELED ORGANIC,$1.49
TRADER JOE'S,R-STRAWBERRIES ORG LB,$3.49
TRADER JOE'S,A-AVOCADOS HASS BAG,$2.99
TRADER JOE'S,UNSALTED BUTTER QUARTERS,$3.19
TRADER JOE'S,TJ'S STRING CHEESE,$3.99
TRADER JOE'S,VEG BROCCOLI FLORETS ORGANIC,$2.49
TRADER JOE'S,LENTILS RED SPLIT,$1.69
TRADER JOE'S,R-SALAD ORGANIC BABY SPINACH,$1.99
TRADER JOE'S,TJ'S HONEY NUT O'S CEREAL,$2.49
TRADER JOE'S,TJ'S BNLS SNLS CHICKEN BREASTS,$4.22
TRADER JOE'S,A-APPLE BAG JAZZ LB,$2.69
TRADER JOE'S,A-POTATO BAG SWEET LB,$1.79
TRADER JOE'S,R-HERB CILANTRO BUNCH,$0.99
TRADER JOE'S,BEANS BLACK,$3.56
TRADER JOE'S,GROUND TURKEY,$2.99
TRADER JOE'S,SWEET ITALIAN CKN SAUSAGE,$3.99
TRADER JOE'S,TJ'S HONEY NUT O'S CEREAL,$2.49
TRADER JOE'S,HARVEST BREAD,$1.99
TRADER JOE'S,Total,$74.05
TRADER JOE'S,Receipt_Total,$64.04
